scene_id,animal,relation,reference,asset_path,width,height,mode,sha256
scene.prepositions.bee.above,bee,above,cloud,Prepositions/scenes/scene_prepositions_bee_above.png,1448,1086,RGB,87d0e12b8437bc43e58437a7b59725110ca7079fcb415d60eb987f99c461f92c
scene.prepositions.butterfly.above,butterfly,above,cloud,Prepositions/scenes/scene_prepositions_butterfly_above.png,1448,1086,RGB,88f1a28034d105ffc3932486347462e15b3acc6c6c9f6b1a1e69852a78e5b5e0
scene.prepositions.dragon.above,dragon,above,cloud,Prepositions/scenes/scene_prepositions_dragon_above.png,1448,1086,RGB,e7591195949a6a35b753a4d1a2377212ac7d078ea0ac0b9b2e7c13b1588bef15
scene.prepositions.bird.below,bird,below,cloud,Prepositions/scenes/scene_prepositions_bird_below.png,1448,1086,RGB,a7dc86c1045e0a525064c4c4162c52a21ac1fd2691a63a86885850bc8939f997
scene.prepositions.bee.below,bee,below,cloud,Prepositions/scenes/scene_prepositions_bee_below.png,1448,1086,RGB,bea53715fa302a2c878f9e8861cd753c8c79c0bf0ce5fb1c17df4613475b4ea0
scene.prepositions.butterfly.below,butterfly,below,cloud,Prepositions/scenes/scene_prepositions_butterfly_below.png,1448,1086,RGB,857bc34f7407c756c1c64168a27b24c2aced8a1f60df30f9470c611eb9802d87
scene.prepositions.dragon.below,dragon,below,cloud,Prepositions/scenes/scene_prepositions_dragon_below.png,1448,1086,RGB,c6c58d9b37ece0a834252bee671a859f5369d7566304e6300514283978126d9c
scene.prepositions.fish.inside,fish,inside,cave,Prepositions/scenes/scene_prepositions_fish_inside.png,1448,1086,RGB,16c7b935b90fe07dcf46cde965794282aca181544155cbf5301a11155194e3e6
scene.prepositions.turtle.inside,turtle,inside,cave,Prepositions/scenes/scene_prepositions_turtle_inside.png,1448,1086,RGB,cf368f99c36c36a777913860f9f6af59d42c535008a4fd8585d1354c448f4119
scene.prepositions.octopus.inside,octopus,inside,cave,Prepositions/scenes/scene_prepositions_octopus_inside.png,1448,1086,RGB,b10b46c3f41fc3685abd18e99293169b6574505e680a719de77539620b94aaca
scene.prepositions.seahorse.inside,seahorse,inside,cave,Prepositions/scenes/scene_prepositions_seahorse_inside.png,1448,1086,RGB,8ea7b76d6436e6dcb454687297093b34cd349224337a1513bc4762e6d86afe1e
scene.prepositions.fish.outside,fish,outside,cave,Prepositions/scenes/scene_prepositions_fish_outside.png,1448,1086,RGB,49c1d8f08bf8ccf981bcdfdb59c7e3ef18bab85102949a21b1bf1a25ed2b2928
scene.prepositions.turtle.outside,turtle,outside,cave,Prepositions/scenes/scene_prepositions_turtle_outside.png,1448,1086,RGB,f73fb3c04a90a273b50e113250be284064418a424d24050a65a6b0a0d1cf35da
scene.prepositions.octopus.outside,octopus,outside,cave,Prepositions/scenes/scene_prepositions_octopus_outside.png,1448,1086,RGB,12d2938be2b5338dc55757d379b63b48fae06e8592e4df4fe589204f61a52a5e
scene.prepositions.seahorse.outside,seahorse,outside,cave,Prepositions/scenes/scene_prepositions_seahorse_outside.png,1448,1086,RGB,7b953c86aa8a9545f5e23d98e4555eb11d7c7723728dcba864cff6daeafb2598
scene.prepositions.snake.in_front_of,snake,in_front_of,rock,Prepositions/scenes/scene_prepositions_snake_in_front_of.png,1448,1086,RGB,56a75d8129a559a864c9bf7acbfc2c71fd1a9c68ca0e4bb4ff3573bc0fb3956b
scene.prepositions.dinosaur.in_front_of,dinosaur,in_front_of,rock,Prepositions/scenes/scene_prepositions_dinosaur_in_front_of.png,1448,1086,RGB,add0674be28dd495d6b4d140837d27a211441d927309b614d63e56fd46011088
scene.prepositions.dragon.in_front_of,dragon,in_front_of,rock,Prepositions/scenes/scene_prepositions_dragon_in_front_of.png,1448,1086,RGB,f6b4a699f6560571885d20948ee715c35181841e8e44b83013a657a599da5ddd
scene.prepositions.crocodile.in_front_of,crocodile,in_front_of,rock,Prepositions/scenes/scene_prepositions_crocodile_in_front_of.png,1448,1086,RGB,078cacffd7cd46b68ef24c8dc9771aed93d5b8c9075f0b8af0edca36b5d036d9
scene.prepositions.snake.near,snake,near,rock,Prepositions/scenes/scene_prepositions_snake_near.png,1448,1086,RGB,780abd5021a6e2553172cc308e98b3be3836b32775e4ebf182992231b513b231
scene.prepositions.dinosaur.near,dinosaur,near,rock,Prepositions/scenes/scene_prepositions_dinosaur_near.png,1448,1086,RGB,0831b0e14c0d8e348d67d7df9be39aeec3db6d181f6e9a5f48b95232132f7fb2
scene.prepositions.dragon.near,dragon,near,rock,Prepositions/scenes/scene_prepositions_dragon_near.png,1448,1086,RGB,c0ba0dfe9b33ee9db5bc639be170cb0bf26bc8996de83a8db8007546db379428
scene.prepositions.crocodile.near,crocodile,near,rock,Prepositions/scenes/scene_prepositions_crocodile_near.png,1448,1086,RGB,70161bdb082f0bc0160beb671785c65ab1a0be99274b511c0cfe2d39eefe33d8
scene.prepositions.snake.far_from,snake,far_from,rock,Prepositions/scenes/scene_prepositions_snake_far_from.png,1448,1086,RGB,4695a3715f454aee6121a0e74164893de27709f0d43aced6aa536f2423a1d937
scene.prepositions.dinosaur.far_from,dinosaur,far_from,rock,Prepositions/scenes/scene_prepositions_dinosaur_far_from.png,1448,1086,RGB,855984cd91ca80dc649119c051460315188c4b114b658f7a223729dc4af7d342
scene.prepositions.dragon.far_from,dragon,far_from,rock,Prepositions/scenes/scene_prepositions_dragon_far_from.png,1448,1086,RGB,1e41a214070f7fbc7afeacb8567d6764c203e97422da2a828d78b80c271f2dbe
scene.prepositions.crocodile.far_from,crocodile,far_from,rock,Prepositions/scenes/scene_prepositions_crocodile_far_from.png,1448,1086,RGB,762390b6e10b5c6e45bad66b1b4e0d1ea3370c400755ed286a49f71b82be91b1
